FIPStxt,year,rate_domestic_migration
20159,2020,4.2060988433
20161,2020,-18.77215598
20163,2020,-11.09430156
20165,2020,-7.222586999
20167,2020,-2.180549498
20169,2020,-6.371362017
20171,2020,-17.05713111
20173,2020,-0.466233976
20175,2020,-40.52619432
20177,2020,-4.195784451
20179,2020,-5.552250644
20181,2020,0.8450228156
20183,2020,-2.788233654
20185,2020,-2.163981726
20187,2020,-20.83850161
20189,2020,-19.23600399
20191,2020,-8.243375859
20193,2020,-0.12914057
20195,2020,9.2857142857
20197,2020,-1.011341472
20199,2020,13.967409378
20201,2020,-6.263817244
20203,2020,-3.308910423
20205,2020,-16.40393229
20207,2020,-12.65422335
20209,2020,-8.737717309
21000,2020,-0.345174158
21001,2020,1.9791151272
21003,2020,9.1900935504
21005,2020,2.5998061162
21007,2020,-10.32745592
21009,2020,2.2180978679
21011,2020,2.08466966
21013,2020,-15.15641958
21015,2020,7.1040597856
21017,2020,-14.98596632
21019,2020,-9.786192958
21021,2020,-0.46556483
21023,2020,3.3773596285
21025,2020,-8.891686666
21027,2020,7.0122100721
21029,2020,6.7984141132
21031,2020,9.835297791
21033,2020,4.5556297373
21035,2020,1.821330084
21037,2020,-1.390017536
21039,2020,3.5793241394
21041,2020,-9.1833388
21043,2020,-8.209967123
21045,2020,15.832943743
21047,2020,-14.53535733
21049,2020,2.2638488191
21051,2020,-8.902448173
21053,2020,5.4000981836
21055,2020,-7.682747712
21057,2020,-6.162170286
21059,2020,3.2807296659
21061,2020,-4.836263781
21063,2020,2.6638252531
21065,2020,0.2831257078
21067,2020,-2.921413059
21069,2020,4.0597261405
21071,2020,-5.595579492
21073,2020,1.9058472179
21075,2020,-10.30328209
21077,2020,8.5058123051
21079,2020,8.1853062385
21081,2020,-3.829736307
21083,2020,-3.861366226
21085,2020,5.7663125948
21087,2020,-2.370208305
21089,2020,-3.180462871
21091,2020,-5.38373425
21093,2020,2.4498614608
21095,2020,-7.530724976
21097,2020,4.991238783
21099,2020,2.4777921291
21101,2020,-6.547474703
21103,2020,3.1689812657
21105,2020,-5.447735785
21107,2020,-7.245569056
21109,2020,-4.489001945
21111,2020,-4.780898298
21113,2020,2.3175615544
21115,2020,-6.191255973
21117,2020,0.0120015602
21119,2020,-13.7206345
21121,2020,-3.747297622
21123,2020,5.9936578736
21125,2020,1.8934248763
21127,2020,-13.59223301
21129,2020,51.608439986
21131,2020,-20.57120032
21133,2020,-8.532029701
21135,2020,0.75349433
21137,2020,-4.230996115
21139,2020,-2.277904328
21141,2020,2.5885180734
21143,2020,14.6511202
21145,2020,3.2587492828
21147,2020,-3.12853046
