county_fips,rate_net_migration
13059,7.0132706199
13061,-19.78302489
13063,2.0215237283
13065,-9.695704057
13067,5.8481824941
13069,-2.252670692
13071,-0.435801057
13073,20.937840785
13075,-11.07935292
13077,3.646616686
13079,-2.702273089
13081,-9.843268134
13083,-8.092276104
13085,5.8413038147
13087,-9.620096927
13089,7.6088484093
13091,-4.544295286
13093,-13.36686533
13095,-9.232860975
13097,-3.645077458
13099,-17.45216986
13101,-39.09849334
13103,5.6026107789
13105,-13.04700985
13107,7.429683354
13109,-35.92206113
13111,3.2583627785
13113,-0.177180132
13115,-3.498159822
13117,19.740251284
13119,-3.41779074
13121,18.690158224
13123,-4.168653843
13125,9.3397745572
13127,6.3238847786
13129,-1.330851475
13131,1.9854269661
13133,4.3521512062
13135,7.875804802
13137,5.3922703078
13139,3.1498126216
13141,-35.292844
13143,-5.882870982
13145,5.5181343157
13147,5.4584724131
13149,-8.125561305
13151,-0.192810111
13153,6.6505065573
13155,-9.754578945
13157,-6.271651152
13159,-17.83634246
13161,-3.097199341
13163,-26.69404517
13165,110.83386526
13167,1.999700045
13169,-6.066522558
13171,-7.681680022
13173,-5.919419515
13175,-4.032047465
13177,-2.967566247
13179,-34.74006683
13181,-12.91890509
13183,46.393410977
13185,14.187541565
13187,3.0747591711
13189,-4.439922301
13191,-25.33266918
13193,-11.8240306
13195,-4.871630752
13197,-4.719967766
13199,-14.95353225
13201,-11.92546584
13205,-17.08041131
13207,-1.479598611
13209,-19.86939778
13211,-6.327696271
13213,-5.440032539
13215,10.618005459
13217,-0.526315789
13219,3.7736979245
13221,-15.67580518
13223,-0.208084788
13225,-3.456283415
13227,-4.364876385
13229,4.6179569521
13231,0.1125017578
13233,-7.113204341
13235,-12.06559606
13237,-7.410379251
13239,-13.9946491
13241,4.2381990725
13243,-34.1512605
13245,0.1242822699
13247,-5.069189164
13249,-5.760826381
13251,-18.61897596
13253,11.792720263
13255,-8.079226524
13257,-0.116611276
13259,10.67674113
13261,-19.07305577
13263,-30.98591549
13265,-11.24593075
13267,-3.575708757
13269,-10.95172906
13271,9.5062864152
13273,-22.66745448
13275,-3.456091923
13277,-9.914255091
13279,-4.194029027
13281,6.4323889703
13283,-8.521266436
13285,5.6654722576
13287,-61.4322692
13289,-35.44507739
13291,8.9243776421
13293,-13.35028608
13295,-5.697507523
13297,-0.577813154
13299,-12.77592251
13301,-25.48792443
13303,-11.92557293
13305,-2.408684462
13307,-2.532103455
13309,-16.98725956
13311,9.0501026769
13313,-5.896982532
13315,-18.66201026
13317,-12.60152597
13319,7.3015873016
13321,-9.099181074
15000,5.0862738016
15001,6.2034871359
15003,4.5616939028
15005,0.0
15007,6.0486676089
15009,6.5732605082
16000,0.5070403751
16001,12.442539661
16003,-20.28140449
16005,-6.129178714
16007,-12.82916948
16009,-5.027597136
16011,-17.74558822
16013,-4.78559583
16015,-27.43902439
16017,-9.811534716
16019,-1.213677867
16021,-3.14232902
16023,-28.9647774
16025,-34.54545455
16027,3.479724115
16029,-12.04553801
16031,-3.623110268
16033,-80.52230686
16035,-0.814521759
16037,1.6181229773
16039,-9.293821894
16041,-9.450171821
16043,-18.94534995
16045,-6.422183542
16047,-11.10929587
16049,-0.486233514
16051,-1.284133399
16053,-9.224355847
16055,5.0244509144
16057,0.7900038184
16059,-25.00952139
16061,2.8848675584
16063,16.932845873
16065,-32.10268625
16067,-9.068609232
16069,2.1788148261
16071,-4.729250414
16073,-2.36998025
16075,0.7518464464
16077,-2.306213965
16079,9.383008082
16081,-15.67583555
16083,-0.94478136
16085,-12.62257459
16087,-7.834969751
17000,-3.393092122
17001,-1.086713807
17003,-38.83124324
17005,-11.2866177
17007,-12.23740567
17009,-1.01655533
17011,-7.017849116
17013,-11.36137134
17015,-3.822075783
17017,-17.96274394
17019,0.6571413859
17021,-4.305114129
17023,3.5119065956
17025,-2.842669193
17027,-5.530026728
17029,-6.208973088
17031,-2.230395623
17033,-10.41560817
17035,-12.70994099
17037,-5.890381438
