county_fips,rate_natural_increase_population
12086,5.0625990391
12087,1.104176345
12089,0.9820605783
12091,6.2650188809
12093,3.7195742595
12095,7.4342299049
12097,7.2386134566
12099,0.7185061017
12101,-1.583162501
12103,-2.982451469
12105,2.332297754
12107,-0.641292409
12109,1.6776669379
12111,0.7987971889
12113,3.529471726
12115,-5.326131217
12117,3.5221170981
12119,-8.685460119
12121,-1.334836943
12123,1.0568031704
12125,0.3272572569
12127,-3.045411751
12129,1.8760512356
12131,2.6597631038
12133,-1.177641063
13000,6.2338036185
13001,5.4282922593
13003,5.1760457418
13005,5.1132540928
13007,6.2846027233
13009,1.4178982385
13011,0.6047278725
13013,8.3441087592
13015,4.7914711813
13017,3.1825414867
13019,1.7125953604
13021,4.9933347612
13023,-0.154012013
13025,0.3235111746
13027,4.1773473844
13029,9.3516798388
13031,4.7070447855
13033,3.9094385015
13035,2.8482156142
13037,-1.819560273
13039,9.4241249729
13043,2.2410470172
13045,5.8971819573
13047,3.7186480168
13049,1.7162257956
13051,6.8639818031
13053,23.297338662
13055,-1.01340817
13057,7.1354433989
13059,6.7696959516
13061,1.5954052329
13063,10.536196843
13065,5.0715990453
13067,8.29894449
13069,5.1788202508
13071,5.7961540557
13073,7.2012091297
13075,3.0055691428
13077,5.9238287937
13079,2.225401367
13081,2.7459760889
13083,2.9591158886
13085,2.051144851
13087,1.8877171328
13089,9.7396098762
13091,0.0927407201
13093,-0.620112309
13095,5.2277386341
13097,6.9001466281
13099,2.8931404573
13101,13.945959407
13103,6.5835392654
13105,0.4061326023
13107,2.9188041748
13109,6.371779481
13111,-4.52785477
13113,1.2962125416
13115,1.2389316037
13117,6.9562952573
13119,1.0481224936
13121,7.5014708256
13123,2.9675162948
13125,-7.729468599
13127,3.0190648353
13129,4.514104328
13131,4.9635674152
13133,-0.062173589
13135,9.6826354415
13137,2.1522795649
13139,7.0693368198
13141,-0.324780773
13143,0.2818141788
13145,2.8361360729
13147,-1.688592185
13149,1.1119189155
13151,5.3649413375
13153,7.6656929165
13155,1.4528096301
13157,4.0880658031
13159,3.421665696
13161,5.4695222405
13163,0.2415750695
13165,-3.713804909
13167,-1.299805029
13169,1.847848825
13171,0.1105277701
13173,4.5827763987
13175,3.0501498961
13177,7.261809168
13179,21.374941161
13181,-1.151189563
13183,10.037964095
13185,8.1578363999
13187,4.4812979409
13189,5.1799093516
13191,0.2846367324
13193,0.9041905756
13195,1.1734585022
