FIPStxt,year,rate_natural_increase_population
19089,2020,-0.327332242
19091,2020,0.1046189256
19093,2020,-5.107252298
19095,2020,0.0
19097,2020,-0.411670869
19099,2020,0.7529513002
19101,2020,-1.47738776
19103,2020,6.3973164418
19105,2020,-0.096725831
19107,2020,1.7596167946
19109,2020,0.8083257553
19111,2020,-0.828819229
19113,2020,4.124039437
19115,2020,1.3520822066
19117,2020,3.136434919
19119,2020,4.7518031396
19121,2020,0.2458210423
19123,2020,2.2215673384
19125,2020,0.390906904
19127,2020,0.9084371097
19129,2020,0.1988269212
19131,2020,0.5671881647
19133,2020,-5.904828065
19135,2020,-0.129240711
19137,2020,-2.817184827
19139,2020,3.6007388529
19141,2020,-0.871111756
19143,2020,-1.334890706
19145,2020,-3.560126582
19147,2020,-0.224858058
19149,2020,1.7927929723
19151,2020,-2.100052501
19153,2020,6.4959415734
19155,2020,1.8126240146
19157,2020,-1.731086527
19159,2020,-2.237136465
19161,2020,-1.132502831
19163,2020,3.2393722559
19165,2020,-1.911962804
19167,2020,6.6899234822
19169,2020,3.5688867343
19171,2020,1.5419743202
19173,2020,1.3028255028
19175,2020,-0.65202331
19177,2020,-1.138222949
19179,2020,1.2578616352
19181,2020,2.868852459
19183,2020,2.2715398769
19185,2020,-1.245523898
19187,2020,0.0830530294
19189,2020,-2.297420189
19191,2020,-0.649870026
19193,2020,4.7660269815
19195,2020,1.0815195349
19197,2020,-0.554411532
20000,2020,3.5116134416
20001,2020,-1.849618014
20003,2020,0.7640392207
20005,2020,-0.496185573
20007,2020,0.4498425551
20009,2020,-1.273246392
20011,2020,1.9947723208
20013,2020,0.4172316679
20015,2020,1.4056705348
20017,2020,1.5243902439
20019,2020,-3.661885871
20021,2020,-2.601691099
20023,2020,-5.658242173
20025,2020,0.5015045135
20027,2020,-1.749453296
20029,2020,-2.96803653
20031,2020,1.4624337335
20033,2020,2.9103608847
20035,2020,-0.570963644
20037,2020,2.2385467457
20039,2020,-2.813434148
20041,2020,-0.053838699
20043,2020,-0.262157557
20045,2020,3.451563065
20047,2020,1.423994304
20049,2020,-3.988831272
20051,2020,1.6084197276
20053,2020,-2.282918875
20055,2020,11.096650456
20057,2020,10.074671092
20059,2020,1.7588774453
20061,2020,20.606079414
20063,2020,-3.04936154
20065,2020,-7.665926972
20067,2020,10.246469122
20069,2020,8.7864721485
20071,2020,10.564811052
20073,2020,-2.501459185
20075,2020,4.6701692936
20077,2020,-6.213450292
20079,2020,1.1659767971
20081,2020,7.0369439558
20083,2020,-4.424778761
20085,2020,3.1768843841
20087,2020,1.1609805008
20089,2020,-1.048218029
20091,2020,5.0894273186
20093,2020,9.2556883918
