FIPStxt,year,rate_international_migration
21015,2012,2.4314423022
21017,2012,1.8952145832
21019,2012,-0.121665602
21021,2012,0.2767208578
21023,2012,0.5892057506
21025,2012,0.2919601474
21027,2012,-0.049571209
21029,2012,0.1191287716
21031,2012,1.8856065368
21033,2012,0.0
21035,2012,3.2491117774
21037,2012,1.2384443823
21039,2012,0.5963621906
21041,2012,2.0120724346
21043,2012,0.0
21045,2012,-0.438390481
21047,2012,12.106015261
21049,2012,-0.05624376
21051,2012,0.0463940244
21053,2012,1.370667711
21055,2012,-0.108289566
21057,2012,1.0200364299
21059,2012,0.7487217883
21061,2012,0.4111842105
21063,2012,0.0
21065,2012,0.0
21067,2012,4.7692477326
21069,2012,-0.344732488
21071,2012,0.3042673496
21073,2012,1.3364923152
21075,2012,0.0
21077,2012,0.2329509056
21079,2012,0.1771270001
21081,2012,-0.202897375
21083,2012,1.2503491667
21085,2012,-0.232810802
21087,2012,0.6231084209
21089,2012,-0.163205353
21091,2012,-0.116076611
21093,2012,4.8030784209
21095,2012,0.2767687251
21097,2012,1.7153118383
21099,2012,0.436086127
21101,2012,-0.086250579
21103,2012,0.8466021947
21105,2012,0.0
21107,2012,0.3424254422
21109,2012,-0.074931625
21111,2012,3.3177791574
21113,2012,1.911365508
21115,2012,-0.042716788
21117,2012,0.9868727307
21119,2012,0.0
21121,2012,-0.252477435
21123,2012,-0.070854147
21125,2012,0.6055865358
21127,2012,0.3141492837
21129,2012,-0.261643119
21131,2012,-0.268132457
21133,2012,0.165333664
21135,2012,0.0
21137,2012,-0.040712468
21139,2012,0.4224533981
21141,2012,-0.224010155
21143,2012,0.1184763936
21145,2012,-0.106562743
21147,2012,-0.385314031
21149,2012,0.4210969576
21151,2012,0.4936269238
21153,2012,0.076100605
21155,2012,0.7014203763
21157,2012,0.3198873996
21159,2012,-0.078265634
21161,2012,-0.228532252
21163,2012,4.0069272301
21165,2012,-0.313553343
21167,2012,1.7841213202
21169,2012,0.1994714008
21171,2012,0.8269778554
21173,2012,-0.223834661
21175,2012,0.8073394495
